Date,Source,Headline,Summary,Jurisdiction,Impact_Area,Action_Type,Company_Mentioned,Relevance_to_Headway
2026-02-27,Reuters,DOJ Announces $15M Settlement with Cerebral Over Prescribing Practices,"Department of Justice reached settlement with digital mental health company Cerebral over allegations of improper controlled substance prescribing and inadequate clinical oversight of telehealth providers.",Federal,Prescribing Compliance;Clinical Oversight,Settlement,Cerebral,High — Headway must ensure prescribing oversight protocols exceed standards cited in this enforcement action
2026-02-24,Behavioral Health Business,California AG Sues BetterHelp Over Data Sharing with Social Media Platforms,"California Attorney General filed lawsuit alleging BetterHelp shared patient therapy data with Meta and Snapchat for advertising purposes without adequate patient consent.",California,Data Privacy;Consumer Protection,Lawsuit,BetterHelp,High — Reinforces need for strict data governance and marketing pixel audit on Headway platform
2026-02-21,Modern Healthcare,CMS Proposes Mandatory Behavioral Health Quality Reporting for Medicare Advantage Plans,"Proposed rule would require MA plans to report depression screening rates PHQ-9 response rates and 30-day follow-up rates after psychiatric hospitalization starting 2027.",Federal,Quality Reporting;Payer Requirements,Proposed Rule,None,High — Headway's outcome data capabilities position well for payer quality reporting requirements
2026-02-18,Politico,Bipartisan Senate Bill Would Mandate Insurance Coverage of Digital Therapeutics,"CONNECT for Health Act expansion would require commercial insurers to cover FDA-cleared digital therapeutics including mental health applications as a covered benefit.",Federal,Insurance Coverage;Digital Health,Proposed Legislation,None,Medium — Could expand reimbursement landscape for digital mental health tools Headway may integrate
2026-02-15,Health Affairs Blog,New York Passes Telehealth Parity Permanence Act,"New York legislature passes bill making temporary pandemic telehealth payment parity permanent. Requires commercial insurers to reimburse telehealth visits at the same rate as in-person for behavioral health.",New York,Telehealth Reimbursement;Parity,State Legislation,None,High — Directly benefits Headway providers and patients in New York; model for other state advocacy
2026-02-12,STAT News,FTC Issues Warning Letters to 5 Mental Health Apps Over Deceptive Outcome Claims,"FTC sent warning letters to five unnamed digital mental health companies alleging unsubstantiated claims about treatment efficacy and outcome improvement percentages in marketing materials.",Federal,Marketing Compliance;Consumer Protection,Warning Letters,Unnamed companies,Medium — Headway should audit all marketing claims about patient outcomes for FTC compliance
2026-02-08,Law360,Class Action Filed Against Talkspace Alleging Inadequate Therapist Credentialing,"Former patients filed class action lawsuit alleging Talkspace failed to verify provider credentials and allowed unlicensed individuals to provide therapy through the platform.",Federal (NY District),Credentialing;Clinical Quality,Class Action Lawsuit,Talkspace,High — Reinforces importance of Headway's credentialing verification processes and documentation
2026-02-05,Healthcare Dive,Texas Medical Board Proposes New Telehealth Prescribing Restrictions,"Texas Medical Board published proposed rules requiring in-person evaluation before prescribing Schedule II controlled substances via telehealth. Would override pandemic-era flexibilities.",Texas,Prescribing;Telehealth Regulation,Proposed State Rule,None,High — Would affect Headway psychiatrists prescribing stimulants for ADHD in Texas
2026-02-01,Fierce Healthcare,HHS OCR Settles with Telehealth Provider Over HIPAA Right of Access Violation,"HHS Office for Civil Rights reached $1.2M settlement with unnamed telehealth provider that failed to provide patients with timely access to their health records.",Federal,Patient Rights;HIPAA Compliance,Settlement,Unnamed telehealth provider,Medium — Headway must ensure patient record access requests are fulfilled within HIPAA timelines
2026-01-28,American Journal of Law & Medicine,State Telehealth Compact Expansion: PSYPACT Adds 5 New States in 2026,"Interstate psychology practice compact PSYPACT now covers 45 states after adding Montana Vermont New Hampshire Delaware and Hawaii effective January 2026.",Multi-State,Licensure;Interstate Practice,Compact Expansion,None,High — Expands Headway psychologist network flexibility; reduces licensure barriers for providers
