Payer_Name,Contract_Start_Date,Contract_End_Date,Rate_Schedule,Annual_Revenue_Target,Current_Revenue_YTD,Pct_to_Target,Key_Terms,Renewal_Status,Account_Owner,Last_Review_Date
Aetna,2024-01-01,2026-06-30,Tiered - Volume Based,72000000,68482410,95.1,Volume incentives above 5000 claims/mo; annual rate escalator of 2.5%; 90-day termination notice,Active - Auto Renewal,Sarah Friedman,2025-11-15
Cigna,2024-07-01,2026-06-30,Flat Rate + Quality Bonus,58000000,55462530,95.6,Quality bonus at 92% clean claim rate; EAP carve-out at reduced rate; quarterly true-up,Active - Renewal Discussion,Marcus Chen,2025-12-01
UnitedHealthcare,2023-10-01,2026-09-30,Tiered - Geographic,92000000,86342870,93.9,State-level rate variation; Medicare Advantage supplement; credentialing SLA of 45 days; penalty clause for directory accuracy below 95%,Active - Mid-Term Review,David Kowalski,2025-11-20
Blue Cross Blue Shield,2024-04-01,2026-03-31,Flat Rate,46000000,44974120,97.8,National BlueCard access; state-specific riders; provider directory integration requirement; 60-day payment terms,Renewal Pending - Q1 2026,Jennifer Walsh,2025-12-10
Anthem,2024-01-01,2025-12-31,Tiered - Volume Based,36000000,37048180,102.9,Volume thresholds at 10k and 15k claims/mo; behavioral health parity compliance; shared savings model for high-utilizers,Recently Renewed - 2 yr extension,Rachel Torres,2025-12-18
Humana,2024-06-01,2026-05-31,Flat Rate + MA Supplement,24000000,24478320,102.0,Medicare Advantage focused; Stars rating quality incentive; telehealth parity; annual rate review,Active - On Track,Brian Nakamura,2025-10-28
Kaiser Permanente,2025-01-01,2027-12-31,Value-Based,22000000,21614380,98.2,Outcomes-based incentives; integrated care coordination requirements; data sharing agreement; exclusivity in covered regions,Active - Year 1,Lisa Park,2025-11-05
Optum Behavioral,2024-03-01,2026-02-28,Tiered - Specialty,32000000,31650130,98.9,Specialty rate for psychiatry vs therapy; measurement-based care bonus; network adequacy requirements,Renewal Pending - Q1 2026,James Okafor,2025-12-05
Magellan Health,2024-09-01,2026-08-31,Flat Rate,14000000,14378260,102.7,Managed behavioral carve-out; utilization review requirements; EAP overflow arrangement; 30-day clean claim standard,Active - Under Review,Amanda Reyes,2025-11-22
Evernorth (Cigna Behavioral),2025-04-01,2027-03-31,Value-Based,8500000,5124680,60.3,New partnership; ramp period through Q2 2026; outcomes reporting requirements; shared risk corridor,Active - Ramp Period,Marcus Chen,2025-12-01
