Theme,Frequency,Payers_Mentioning,Sentiment,Example_Quote,Impact_Area,Priority,Status
Claims Processing Speed,18,Aetna; UnitedHealthcare; Magellan Health; Anthem; Optum Behavioral,Mixed,"We've improved our turnaround to 18 days but need your clean claim rates to match" - Aetna Claims Ops,Revenue Cycle,High,In Progress - Claims scrubbing implementation underway
Provider Directory Accuracy,14,Aetna; UnitedHealthcare; Blue Cross Blue Shield; Humana,Negative,"Members are booking with providers listed as available who actually have full panels" - Aetna Network Strategy,Member Experience,High,In Progress - Real-time availability sync in development
Credentialing Timeline,16,UnitedHealthcare; Magellan Health; Humana; Optum Behavioral,Negative,"47 providers past our 45-day SLA is a significant compliance concern" - UHC Provider Relations,Provider Onboarding,Critical,In Progress - Backlog clearance and automation planned for Q1 2026
Measurement-Based Care Outcomes,10,Cigna; Kaiser Permanente; Optum Behavioral; Humana,Positive,"23% PHQ-9 improvement is compelling - we want to share this with our C-suite" - Cigna Behavioral Health Innovation,Clinical Quality,Medium,Active - Outcomes reporting being formalized
Time to First Appointment,12,Blue Cross Blue Shield; UnitedHealthcare; Humana,Negative,"Average wait moving from 5 to 8 days is concerning for our access standards" - BCBS Behavioral Health Director,Access & Availability,High,Under Investigation - Scheduling ops reviewing capacity constraints
Contract Rate Competitiveness,8,Blue Cross Blue Shield; Magellan Health; Cigna,Neutral,"We need to see value alignment - we're benchmarking against Spring Health and Lyra" - BCBS Contracting,Commercial,High,Active - Rate scenario modeling in progress
EAP Program Expansion,6,Cigna; Magellan Health,Positive,"Utilization at 72% is above industry benchmark - we want to expand to all 50 states" - Cigna EAP Programs,Growth,Medium,Planning - Expansion proposal being drafted
Psychiatry Provider Supply,9,Humana; UnitedHealthcare; Blue Cross Blue Shield,Negative,"14-day wait for psychiatry prescribers is too long for our Medicare Advantage members" - Humana MA Behavioral Health,Network Adequacy,Critical,In Progress - Targeted psychiatry recruitment in FL and TX
Bilingual Provider Availability,5,Humana; Blue Cross Blue Shield; Anthem,Negative,"Only 12% Spanish-speaking providers in FL/TX is insufficient for our MA demographics" - Humana Provider Network,DEI & Access,Medium,Planning - Bilingual recruitment initiative being scoped
Utilization Management Alignment,7,Magellan Health; Humana; Optum Behavioral,Neutral,"Sessions per member at 4.8 vs our expected 3.5 needs clinical justification" - Magellan Utilization Management,Clinical Operations,Medium,Active - Outcomes-correlated utilization data being prepared
Digital Integration & API Access,4,Cigna; Kaiser Permanente,Positive,"We want to embed Headway's provider matching directly in our member app" - Cigna Digital Health Partnerships,Product & Technology,Medium,Planning - Awaiting API requirements from payer partners
Compliance & Recredentialing,6,Magellan Health; UnitedHealthcare; Optum Behavioral,Negative,"15% lapse rate on recredentialing is a real compliance risk for us" - Magellan Network Services,Regulatory,Critical,In Progress - Automated reminder system launching Q1 2026
