Trigger_ID,Trigger_Name,Condition,Threshold,Lookback_Sessions,Recommendation,Urgency,Evidence_Source
TRG-001,No Symptom Improvement,PHQ-9 or GAD-7 score change < 3 points from baseline,<3 point reduction,6,"Consider treatment modification: reassess diagnosis, adjust modality, discuss medication evaluation, or increase session frequency. Review therapeutic alliance.",High,"APA Practice Guidelines for MDD (2019); NICE CG90 — Treatment-resistant depression pathway"
TRG-002,Severe Depression Score,PHQ-9 score >= 20,>=20,1,"Immediate clinical attention. Conduct suicide risk assessment. Consider medication evaluation if not already prescribed. Discuss higher level of care (IOP/PHP) if appropriate.",Critical,"Kroenke et al. (2001) PHQ-9 validation; APA Guidelines recommend combined therapy + pharmacotherapy for severe depression"
TRG-003,Suicidal Ideation Endorsed,PHQ-9 Item 9 score >= 2 (more than half the days or nearly every day),>=2 on Item 9,1,"Immediate safety assessment required. Complete or update safety plan. Evaluate need for higher level of care. Document risk assessment and clinical decision-making.",Critical,"Columbia Suicide Severity Rating Scale protocol; Joint Commission National Patient Safety Goal 15.01.01"
TRG-004,Symptom Worsening,PHQ-9 or GAD-7 score increase >= 5 points from previous session,>=5 point increase,2,"Assess for acute stressors or precipitating events. Review medication adherence. Consider safety assessment if depression worsening. Schedule follow-up within 1 week.",High,"Reliable Change Index (Jacobson & Truax 1991); clinically significant worsening threshold"
TRG-005,Missed Appointments,2 or more missed appointments (no-show or late cancel) in lookback window,>=2 missed,4,"Engagement outreach indicated. Contact patient to assess barriers. Explore ambivalence about treatment. Consider scheduling flexibility or telehealth if transportation is a barrier.",Moderate,"Swift & Greenberg (2012) meta-analysis on premature termination; Barrett et al. (2008) predictors of dropout"
TRG-006,Medication Non-Adherence Signal,Session notes indicate patient reports stopping or skipping medication without prescriber guidance,Any mention,3,"Discuss medication concerns with patient. Coordinate with prescribing provider. Explore barriers (side effects cost stigma). Psychoeducation about discontinuation risks.",High,"NIMH STEP-BD findings on medication adherence; Velligan et al. (2017) adherence interventions"
TRG-007,Treatment Plateau,PHQ-9 or GAD-7 score stable (change < 2 points) across lookback window after initial improvement,<2 point change,4,"Treatment may have reached ceiling with current approach. Consider adding skills-based component, adjusting session frequency, medication augmentation, or transitioning to maintenance phase if scores are in mild range.",Moderate,"Cuijpers et al. (2019) dose-response in psychotherapy; Howard et al. (1986) dose-effect model"
TRG-008,High Severity Anxiety,GAD-7 score >= 15,>=15,1,"Severe anxiety range. Assess functional impairment and panic symptoms. Consider medication evaluation if not already prescribed. Ensure evidence-based anxiety protocol is being used (CBT with exposure components).",High,"Spitzer et al. (2006) GAD-7 validation; APA Clinical Practice Guideline for Anxiety Disorders"
TRG-009,Substance Use Escalation,Session notes indicate new or increased substance use,Any mention,3,"Screen with AUDIT-C or DAST-10. Assess interaction with current medications. Consider integrated treatment or referral to substance use specialist. Evaluate impact on treatment progress.",High,"SAMHSA TIP 42 — Substance Use Disorder Treatment for People with Co-Occurring Disorders"
TRG-010,Extended Treatment Duration,Patient has completed 20+ sessions without reaching mild symptom range,>=20 sessions with scores above mild,20,"Comprehensive treatment review indicated. Consider case consultation, diagnostic reassessment, modality change, or referral to specialist. Document clinical rationale for continued treatment.",Moderate,"Lambert et al. (2001) expected treatment response curves; Hansen et al. (2002) dose-response findings"
TRG-011,Rapid Early Response,PHQ-9 or GAD-7 score decrease >= 50% from baseline within first 4 sessions,>=50% reduction,4,"Positive prognostic indicator. Monitor for sustained improvement. Begin relapse prevention planning early. Consider whether reduced frequency is appropriate.",Low,"Lutz et al. (2009) early response as predictor of outcome; Haas et al. (2002) early improvement research"
TRG-012,Risk Factor Cluster,Patient has 2+ concurrent risk factors: severe score AND missed appointment AND medication non-adherence,2+ concurrent flags,4,"Elevated clinical concern. Prioritize outreach and safety planning. Consider care coordination call between therapist and psychiatrist. Evaluate need for higher level of care.",Critical,"Fowler (2012) risk factor accumulation model; Bryan & Rudd (2006) clinical management of suicidal patients"
