Ticket_ID,Summary,Status,Assignee,Sprint,Story_Points,Labels,Created_Date,Updated_Date,OKR_Link
HW-1042,Implement self-serve rescheduling for legacy booking system patients,In Progress,Kevin Cho,Sprint 16,8,"patient-experience,booking,migration",2026-02-10,2026-02-27,KR: Launch self-serve appointment rescheduling for 100% of patients
HW-1043,Migrate remaining 20% of patients off legacy booking system,To Do,Amy Liu,Sprint 16,13,"booking,migration,legacy",2026-02-15,2026-02-15,KR: Launch self-serve appointment rescheduling for 100% of patients
HW-1051,Build Cigna API integration - eligibility verification endpoint,In Progress,Ravi Sundaram,Sprint 15,8,"insurance,cigna,integration",2026-01-28,2026-02-26,KR: Add 4 new national insurance partners
HW-1052,Build Cigna API integration - claims submission endpoint,To Do,Ravi Sundaram,Sprint 17,8,"insurance,cigna,integration",2026-01-28,2026-02-05,KR: Add 4 new national insurance partners
HW-1053,Cigna provider credentialing data sync,To Do,Sarah Okafor,Sprint 17,5,"insurance,cigna,credentialing",2026-02-01,2026-02-01,KR: Add 4 new national insurance partners
HW-1060,Pre-submission claim validation engine - phase 2 CPT code rules,Done,Priya Mehta,Sprint 14,5,"insurance-ops,claims,validation",2026-01-20,2026-02-21,KR: Reduce claim denial rate from 8% to 4%
HW-1061,Provider CPT code training module - interactive course builder,In Progress,Derek Williams,Sprint 15,5,"provider-success,training,claims",2026-02-03,2026-02-25,KR: Reduce claim denial rate from 8% to 4%
HW-1062,Automated prior auth reference attachment for claim submissions,In Progress,Jen Martinez,Sprint 15,5,"insurance-ops,claims,automation",2026-02-05,2026-02-24,KR: Reduce claim denial rate from 8% to 4%
HW-1070,Implement circuit breakers for Stripe payment gateway,In Progress,Tom Nguyen,Sprint 15,5,"infra,reliability,payments",2026-02-13,2026-02-27,KR: Achieve 99.95% uptime for patient-facing services
HW-1071,Implement circuit breakers for payer API connections,To Do,Tom Nguyen,Sprint 16,5,"infra,reliability,insurance",2026-02-13,2026-02-13,KR: Achieve 99.95% uptime for patient-facing services
HW-1072,Add transactional health checks for external service monitoring,Done,Anil Kapoor,Sprint 14,3,"infra,monitoring",2026-02-12,2026-02-20,KR: Achieve 99.95% uptime for patient-facing services
HW-1073,Evaluate Aurora migration for booking database - POC,In Progress,Tom Nguyen,Sprint 15,3,"infra,database,evaluation",2026-02-18,2026-02-26,KR: Reduce MTTR from 45 min to 20 min
HW-1074,Build automated DB failover test suite,Done,Anil Kapoor,Sprint 15,5,"infra,testing,database",2026-02-13,2026-02-22,KR: Reduce MTTR from 45 min to 20 min
HW-1080,Fix insurance eligibility check timeout on high-latency payer connections,In Progress,Rachel Kim,Sprint 16,5,"bug,P0,insurance,eligibility",2026-01-15,2026-02-27,KR: Reduce P0/P1 bug backlog from 34 to under 10
HW-1081,Fix duplicate appointment creation race condition,To Do,Rachel Kim,Sprint 16,8,"bug,P0,booking,concurrency",2026-01-22,2026-02-20,KR: Reduce P0/P1 bug backlog from 34 to under 10
HW-1082,Fix provider payment calculation rounding error for split sessions,In Progress,Marcus Lee,Sprint 16,3,"bug,P0,payments,billing",2026-02-01,2026-02-26,KR: Reduce P0/P1 bug backlog from 34 to under 10
HW-1083,Fix patient record merge failure for pre-2024 migration accounts,To Do,Marcus Lee,Sprint 16,8,"bug,P0,data,migration",2026-02-10,2026-02-10,KR: Reduce P0/P1 bug backlog from 34 to under 10
HW-1090,Feature flag system - add audit logging and rollback capability,Done,Rachel Kim,Sprint 14,3,"platform,feature-flags,compliance",2026-01-20,2026-02-14,KR: Increase deployment frequency from 2x/week to daily
HW-1091,Automated HIPAA compliance check in CI/CD pipeline - research spike,In Progress,Rachel Kim,Sprint 15,3,"platform,compliance,cicd",2026-02-17,2026-02-25,KR: Increase deployment frequency from 2x/week to daily
