Payer_Name,Overall_Health_Score,Revenue_Trend,Engagement_Score,Issue_Resolution_Rate,Last_QBR_Date,NPS_Score,Risk_Level,Key_Opportunities,Key_Risks
Aetna,87,Increasing,92,88,2025-11-15,78,Low,Medicaid expansion into NJ/CT; rate improvement at renewal; continued volume growth,Directory accuracy complaints; Medicaid rate uncertainty in NY
Cigna,91,Increasing,95,91,2025-10-15,82,Low,EAP 50-state expansion; digital front door API integration; outcomes-driven rate justification,Rate pressure from budget constraints; competition from Lyra in CA market
UnitedHealthcare,68,Stable,72,65,2025-09-18,58,Medium,GA/NC network expansion; Medicare Advantage growth; largest revenue potential,Claims denial spike from coding changes; credentialing backlog; communication gaps on policy changes
Blue Cross Blue Shield,74,Stable,78,82,2025-09-22,71,Medium,Contract renewal with rate increase; BlueCard national access value; strong member satisfaction,2% rate reduction proposal; competitive benchmarking against other platforms; time-to-first-appointment slippage
Anthem,83,Increasing,85,87,2025-12-12,75,Low,Shared savings model optimization; stable volume growth post-renewal; expanding into adjacent markets,Shared savings reconciliation complexity; potential market saturation in OH
Humana,79,Increasing,84,78,2025-12-16,72,Low,Stars rating improvement partnership; care coordination pilot; potential commercial expansion,Psychiatry supply gap in FL/TX; bilingual provider shortage; follow-up-after-hospitalization metric below benchmark
Kaiser Permanente,85,Increasing,88,90,2025-12-18,80,Low,Value-based contract expansion in 2026; care coordination deepening; outcomes beating benchmarks,Regional exclusivity limits growth; integration complexity; resource-intensive partnership model
Optum Behavioral,77,Stable,80,79,2025-11-08,68,Medium,Renewal with favorable specialty rate tier; MBC adoption differentiator; network adequacy strength,Renewal outcome uncertain; specialty rate sustainability; competitive pressure from Optum's own behavioral services
Magellan Health,62,Declining,65,58,2025-12-09,52,High,Rate renegotiation for acuity-adjusted reimbursement; utilization data supports clinical value,Clean claim rate below 90% threshold; credentialing lapse compliance risk; utilization management friction; relationship needs significant attention
Evernorth (Cigna Behavioral),71,Increasing,75,73,2025-11-22,65,Medium,Ramp period on track; fresh partnership with expansion potential; aligned on outcomes focus,New relationship still building trust; revenue well below annualized target; limited operational history together
